username,colour,time_control,user_rating,game_date,game_date_time
Ainceer,white,600,1162,2020.11.08,2020-11-08 22:00:49
Ainceer,black,600,1466,2020.11.08,2020-11-08 23:10:17
Ainceer,white,600,1441,2020.11.08,2020-11-08 23:24:38
Ainceer,black,600,1270,2020.11.08,2020-11-08 23:47:13
Ainceer,white,600,1266,2020.11.09,2020-11-09 11:18:44
Ainceer,black,600,1255,2020.11.09,2020-11-09 16:02:24
Ainceer,black,600,1196,2020.11.09,2020-11-09 16:27:24
Ainceer,black,600,1227,2020.11.09,2020-11-09 16:35:42
Ainceer,white,600,1275,2020.11.09,2020-11-09 19:45:21
Ainceer,black,600,1153,2020.11.09,2020-11-09 23:31:55
Ainceer,white,600,1147,2020.11.10,2020-11-10 14:19:26
Ainceer,white,600,1240,2020.11.10,2020-11-10 14:25:59
Ainceer,black,600,1185,2020.11.10,2020-11-10 14:30:15
Ainceer,white,600,1138,2020.11.10,2020-11-10 17:06:32
Ainceer,white,600,800,2020.11.10,2020-11-10 17:22:21
Ainceer,black,600,1155,2020.11.10,2020-11-10 17:34:31
Ainceer,white,600,1101,2020.11.10,2020-11-10 23:10:22
Ainceer,black,600,1193,2020.11.10,2020-11-10 23:14:11
Ainceer,white,600,1185,2020.11.11,2020-11-11 17:20:44
Ainceer,black,600,1233,2020.11.11,2020-11-11 17:29:38
Ainceer,black,600,1212,2020.11.11,2020-11-11 17:42:51
Ainceer,white,600,1225,2020.11.11,2020-11-11 17:58:54
Ainceer,black,600,1212,2020.11.11,2020-11-11 18:57:49
Ainceer,black,600,1212,2020.11.11,2020-11-11 20:04:51
Ainceer,white,600,800,2020.11.11,2020-11-11 20:18:33
Ainceer,black,600,1230,2020.11.12,2020-11-12 12:08:09
Ainceer,white,600,1211,2020.11.12,2020-11-12 12:12:45
Ainceer,white,600,1226,2020.11.12,2020-11-12 12:19:27
Ainceer,white,600,1279,2020.11.12,2020-11-12 12:31:41
Ainceer,black,600,1201,2020.11.12,2020-11-12 20:12:15
Ainceer,white,600,1245,2020.11.12,2020-11-12 20:24:28
Ainceer,black,600,1177,2020.11.12,2020-11-12 20:56:19
Ainceer,black,600,1190,2020.11.13,2020-11-13 17:48:17
Ainceer,black,600,1203,2020.11.13,2020-11-13 18:16:21
Ainceer,black,600,1192,2020.11.13,2020-11-13 19:00:33
Ainceer,white,600,1212,2020.11.13,2020-11-13 19:09:16
Ainceer,white,180,1195,2020.11.13,2020-11-13 22:56:48
Ainceer,white,180,1083,2020.11.13,2020-11-13 23:01:08
Ainceer,white,180,1122,2020.11.13,2020-11-13 23:03:24
Ainceer,black,180,1006,2020.11.13,2020-11-13 23:04:16
Ainceer,black,600,1171,2020.11.14,2020-11-14 14:29:05
Ainceer,white,600,1173,2020.11.14,2020-11-14 14:42:17
Ainceer,black,600,1150,2020.11.14,2020-11-14 14:44:43
Ainceer,black,600,1139,2020.11.14,2020-11-14 14:49:38
Ainceer,black,600,1128,2020.11.14,2020-11-14 14:58:14
Ainceer,white,600,1129,2020.11.14,2020-11-14 15:13:02
Ainceer,white,600,1120,2020.11.14,2020-11-14 18:49:05
Ainceer,black,600,1139,2020.11.15,2020-11-15 15:25:55
Ainceer,white,600,1154,2020.11.15,2020-11-15 15:41:18
Ainceer,white,600,1137,2020.11.15,2020-11-15 15:58:36
Ainceer,black,600,1148,2020.11.15,2020-11-15 16:02:55
Ainceer,black,600,1155,2020.11.16,2020-11-16 12:15:00
Ainceer,white,600,1106,2020.11.16,2020-11-16 12:18:27
Ainceer,white,600,1195,2020.11.16,2020-11-16 12:39:13
Ainceer,black,600,1171,2020.11.17,2020-11-17 10:47:40
Ainceer,black,600,1178,2020.11.17,2020-11-17 10:52:55
Ainceer,black,600,1169,2020.11.17,2020-11-17 11:00:52
Ainceer,white,600,1211,2020.11.17,2020-11-17 11:07:43
Ainceer,white,600,1124,2020.11.17,2020-11-17 19:08:36
Ainceer,black,600,1160,2020.11.17,2020-11-17 19:15:14
Ainceer,white,600,1145,2020.11.17,2020-11-17 19:31:50
Ainceer,black,600,1161,2020.11.18,2020-11-18 11:15:34
Ainceer,white,600,1104,2020.11.18,2020-11-18 11:17:46
Ainceer,black,600,1160,2020.11.18,2020-11-18 12:21:47
Ainceer,white,600,1166,2020.11.18,2020-11-18 12:31:32
Ainceer,white,600,1201,2020.11.18,2020-11-18 14:36:49
Ainceer,black,600,1169,2020.11.18,2020-11-18 14:46:28
Ainceer,black,600,1177,2020.11.18,2020-11-18 17:44:44
Ainceer,white,600,1207,2020.11.18,2020-11-18 17:59:01
Ainceer,white,600,1232,2020.11.18,2020-11-18 22:39:00
Ainceer,black,600,1171,2020.11.19,2020-11-19 10:48:52
Ainceer,black,600,1162,2020.11.19,2020-11-19 10:52:25
Ainceer,black,600,1155,2020.11.19,2020-11-19 10:59:20
Ainceer,white,600,1113,2020.11.19,2020-11-19 11:00:06
Ainceer,white,600,1172,2020.11.19,2020-11-19 11:41:46
Ainceer,black,600,1146,2020.11.19,2020-11-19 11:45:07
Ainceer,white,600,1125,2020.11.19,2020-11-19 11:52:33
Ainceer,black,600,1163,2020.11.19,2020-11-19 14:38:49
Ainceer,white,600,1127,2020.11.19,2020-11-19 15:03:48
Ainceer,black,600,1163,2020.11.19,2020-11-19 15:04:48
Ainceer,white,600,1127,2020.11.19,2020-11-19 15:17:04
Ainceer,black,600,1163,2020.11.19,2020-11-19 15:38:06
Ainceer,white,600,1127,2020.11.19,2020-11-19 15:50:36
Ainceer,black,600,1195,2020.11.19,2020-11-19 20:02:46
Ainceer,black,600,1203,2020.11.19,2020-11-19 20:07:20
Ainceer,white,600,1189,2020.11.19,2020-11-19 20:13:05
Ainceer,black,180+2,941,2020.11.19,2020-11-19 22:19:01
Ainceer,white,180+2,929,2020.11.19,2020-11-19 22:22:43
Ainceer,black,180+2,833,2020.11.19,2020-11-19 22:28:23
Ainceer,white,180+2,817,2020.11.19,2020-11-19 22:29:45
Ainceer,black,180+2,752,2020.11.19,2020-11-19 22:34:20
Ainceer,white,600,1214,2020.11.20,2020-11-20 17:06:26
Ainceer,black,600,1195,2020.11.20,2020-11-20 17:19:45
Ainceer,white,600,1229,2020.11.20,2020-11-20 17:29:07
Ainceer,white,600,1157,2020.11.20,2020-11-20 18:32:16
Ainceer,black,600,1186,2020.11.20,2020-11-20 18:51:20
Ainceer,white,600,1198,2020.11.20,2020-11-20 20:06:44
Ainceer,black,600,1169,2020.11.20,2020-11-20 20:22:19
Ainceer,black,600,1161,2020.11.20,2020-11-20 20:25:00
Ainceer,white,600,1153,2020.11.20,2020-11-20 20:33:40
Ainceer,white,600,1169,2020.11.20,2020-11-20 21:59:43
Ainceer,black,180,787,2020.11.20,2020-11-20 23:02:26
Ainceer,black,180,755,2020.11.20,2020-11-20 23:04:26
Ainceer,white,180,757,2020.11.20,2020-11-20 23:08:25
Ainceer,white,600,1143,2020.11.20,2020-11-20 23:14:44
Ainceer,white,600,1207,2020.11.21,2020-11-21 10:52:11
Ainceer,black,600,1153,2020.11.21,2020-11-21 11:04:15
Ainceer,white,600,1116,2020.11.21,2020-11-21 11:09:35
Ainceer,black,600,1144,2020.11.21,2020-11-21 11:23:22
Ainceer,black,600,1136,2020.11.21,2020-11-21 15:36:31
Ainceer,white,600,1117,2020.11.21,2020-11-21 15:40:52
Ainceer,white,600,1152,2020.11.21,2020-11-21 15:58:55
Ainceer,black,600,1129,2020.11.21,2020-11-21 17:16:05
Ainceer,black,600,1120,2020.11.21,2020-11-21 17:26:23
Ainceer,white,600,1075,2020.11.21,2020-11-21 17:34:13
Ainceer,black,600,1136,2020.11.21,2020-11-21 22:11:11
Ainceer,white,600,1080,2020.11.21,2020-11-21 22:20:52
Ainceer,black,600,1151,2020.11.21,2020-11-21 22:26:10
Ainceer,white,600,1117,2020.11.22,2020-11-22 12:36:52
Ainceer,black,600,1134,2020.11.22,2020-11-22 12:49:02
Ainceer,black,600,1126,2020.11.22,2020-11-22 12:54:50
Ainceer,black,180,704,2020.11.22,2020-11-22 13:04:32
Ainceer,black,180,724,2020.11.22,2020-11-22 13:09:45
Ainceer,white,180,697,2020.11.22,2020-11-22 13:12:23
Ainceer,black,180,717,2020.11.22,2020-11-22 13:14:52
Ainceer,black,600,1135,2020.11.22,2020-11-22 20:45:29
Ainceer,white,600,1088,2020.11.22,2020-11-22 20:50:29
Ainceer,white,600,1181,2020.11.22,2020-11-22 21:06:04
Ainceer,white,600,1195,2020.11.22,2020-11-22 21:07:58
Ainceer,white,600,1052,2020.11.22,2020-11-22 21:19:28
Ainceer,white,600,1095,2020.11.22,2020-11-22 21:29:50
Ainceer,black,600,1153,2020.11.22,2020-11-22 22:28:08
Ainceer,black,600,1146,2020.11.22,2020-11-22 22:33:37
Ainceer,black,600,1155,2020.11.22,2020-11-22 22:43:46
Ainceer,white,600,1097,2020.11.22,2020-11-22 22:49:27
Ainceer,black,600,1154,2020.11.23,2020-11-23 12:50:03
Ainceer,black,600,1163,2020.11.23,2020-11-23 12:56:05
Ainceer,white,600,1182,2020.11.23,2020-11-23 15:45:11
Ainceer,white,600,1130,2020.11.23,2020-11-23 15:58:00
Ainceer,black,600,1171,2020.11.23,2020-11-23 16:07:51
Ainceer,white,600,1123,2020.11.23,2020-11-23 16:08:42
Ainceer,black,600,1185,2020.11.23,2020-11-23 16:17:28
Ainceer,white,600,1110,2020.11.23,2020-11-23 16:23:10
Ainceer,white,600,1201,2020.11.23,2020-11-23 16:53:33
Ainceer,white,600,1170,2020.11.23,2020-11-23 22:48:16
Ainceer,black,600,1214,2020.11.23,2020-11-23 22:58:21
Ainceer,black,600,1221,2020.11.23,2020-11-23 23:07:12
Ainceer,black,600,1212,2020.11.24,2020-11-24 22:43:00
Ainceer,white,600,1231,2020.11.24,2020-11-24 22:47:40
Ainceer,black,600,1229,2020.11.25,2020-11-25 13:21:10
Ainceer,white,600,1162,2020.11.25,2020-11-25 13:34:29
Ainceer,black,600,1220,2020.11.25,2020-11-25 17:10:32
Ainceer,black,600,1220,2020.11.25,2020-11-25 17:29:08
Ainceer,white,600,1239,2020.11.25,2020-11-25 21:08:21
Ainceer,white,600,1241,2020.11.25,2020-11-25 21:21:10
Ainceer,white,600,1196,2020.11.25,2020-11-25 21:23:45
Ainceer,white,600,1156,2020.11.26,2020-11-26 18:54:21
Ainceer,black,600,1194,2020.11.26,2020-11-26 18:58:15
Ainceer,white,600,1214,2020.11.26,2020-11-26 19:09:27
Ainceer,black,600,1194,2020.11.26,2020-11-26 19:12:10
Ainceer,black,600,1194,2020.11.26,2020-11-26 19:25:12
Ainceer,black,600,1202,2020.11.26,2020-11-26 22:18:33
Ainceer,white,600,1219,2020.11.26,2020-11-26 22:32:12
Ainceer,black,600,1218,2020.11.26,2020-11-26 22:46:17
Ainceer,black,600,1209,2020.11.26,2020-11-26 22:53:16
Ainceer,black,600,1200,2020.11.26,2020-11-26 22:56:59
Ainceer,white,600,1169,2020.11.27,2020-11-27 10:14:24
Ainceer,white,600,1249,2020.11.27,2020-11-27 10:21:01
Ainceer,black,600,1191,2020.11.27,2020-11-27 10:30:13
Ainceer,white,600,1178,2020.11.27,2020-11-27 10:37:19
Ainceer,white,600,1180,2020.11.27,2020-11-27 22:20:36
Ainceer,black,600,1214,2020.11.27,2020-11-27 22:31:41
Ainceer,black,600,1222,2020.11.27,2020-11-27 22:34:03
Ainceer,white,600,1255,2020.11.27,2020-11-27 22:41:30
Ainceer,black,600,1207,2020.11.27,2020-11-27 22:47:28
Ainceer,white,600,1256,2020.11.27,2020-11-27 22:56:07
Ainceer,black,600,1208,2020.11.28,2020-11-28 20:24:59
Ainceer,black,600,1200,2020.11.30,2020-11-30 22:47:51
Ainceer,white,600,1159,2020.11.30,2020-11-30 23:00:05
Ainceer,black,600,1214,2020.11.30,2020-11-30 23:05:45
Ainceer,white,600,1194,2020.11.30,2020-11-30 23:14:32
Ainceer,white,600,1216,2020.11.30,2020-11-30 23:15:21
Ainceer,white,600,1200,2020.12.01,2020-12-01 13:49:22
Ainceer,black,600,1229,2020.12.01,2020-12-01 14:03:34
Ainceer,black,600,1236,2020.12.01,2020-12-01 14:19:34
Ainceer,black,600,1227,2020.12.01,2020-12-01 18:08:48
Ainceer,white,600,1240,2020.12.01,2020-12-01 18:16:16
Ainceer,black,600,1228,2020.12.01,2020-12-01 18:25:39
Ainceer,black,180,735,2020.12.01,2020-12-01 20:09:29
Ainceer,black,180,758,2020.12.01,2020-12-01 20:14:16
Ainceer,white,180,1075,2020.12.01,2020-12-01 20:22:22
Ainceer,black,180,758,2020.12.01,2020-12-01 20:26:44
Ainceer,white,180,1075,2020.12.01,2020-12-01 20:34:49
Ainceer,black,180,758,2020.12.01,2020-12-01 20:35:51
Ainceer,white,600,1216,2020.12.02,2020-12-02 18:54:12
Ainceer,white,600,1193,2020.12.02,2020-12-02 18:59:09
Ainceer,white,180,1107,2020.12.02,2020-12-02 21:34:54
